Timestamp,C1: Select the category that contains your birthday.,C3: How would you describe your experience in registering for classes a the City College of San Francisco?,C7: Would you rather...,C4: Pick a street.,C2: How cute is this dog?,C5: What grade do you think you'll get in this class?,C6: Who do you think will win in 2020?
1/15/2020 14:18:07,March 21 - April 19,Neutral,Eat a meal at a restaurant?,César Chávez,9,A,Bernie Sanders
1/15/2020 14:18:35,April 20 - May 20,Neutral,Eat a meal at a friend house?,César Chávez,10,A,Elizabeth Warren
1/15/2020 14:18:49,August 23 - September 22,Very Dissatisfied,Eat a meal at home?,César Chávez,10,A,Joe Biden
1/15/2020 14:19:01,August 23 - September 22,Neutral,Eat a meal at home?,César Chávez,9,C,Pete Buttigieg
1/15/2020 14:19:02,September 23 - October 22,Very Dissatisfied,Eat a meal at a friend house?,César Chávez,4,A,Bernie Sanders
1/15/2020 14:19:09,January 20 - February 18,Neutral,Eat a meal at a restaurant?,César Chávez,6,A,Elizabeth Warren
1/15/2020 14:19:17,January 20 - February 18,Neutral,Eat a meal at home?,César Chávez,9,B,Andrew Yang
1/15/2020 14:19:25,April 20 - May 20,Somewhat Satisfied,Eat a meal at a friend house?,César Chávez,9,A,Bernie Sanders
1/15/2020 14:19:26,August 23 - September 22,Somewhat Satisfied,Eat a meal at a restaurant?,César Chávez,8,B,Joe Biden
1/15/2020 14:19:36,February 19 - March 20,Neutral,Eat a meal at a restaurant?,César Chávez,9,A,Bernie Sanders
1/15/2020 14:19:59,December 22 - January 19,Somewhat Satisfied,Eat a meal at home?,César Chávez,8,A,Donald Trump
1/15/2020 14:20:05,November 22 - December 21,Somewhat Satisfied,Eat a meal at home?,César Chávez,5,C,Deval Patrick
1/15/2020 14:20:07,September 23 - October 22,Neutral,Eat a meal at home?,César Chávez,9,A,Bernie Sanders
1/15/2020 14:20:13,August 23 - September 22,Somewhat Satisfied,Eat a meal at home?,César Chávez,7,B,Andrew Yang
1/15/2020 14:20:18,November 22 - December 21,Somewhat Satisfied,Eat a meal at a restaurant?,César Chávez,8,A,Andrew Yang
1/15/2020 14:20:51,September 23 - October 22,Very Dissatisfied,Eat a meal at home?,César Chávez,7,A,Donald Trump
1/15/2020 14:20:51,June 21 - July 22,Neutral,Eat a meal at home?,César Chávez,7,B,Donald Trump
1/15/2020 14:20:51,October 23 - November 21,Neutral,Eat a meal at home?,Army,6,B,Joe Biden
1/15/2020 14:21:21,July 23 - August 22,Somewhat Satisfied,Eat a meal at a friend house?,Army,5,B,John Delaney
1/15/2020 14:21:24,September 23 - October 22,Somewhat Satisfied,Eat a meal at a restaurant?,Army,9,A,Michael Bloomberg
1/15/2020 14:21:45,May 21 - June 20,Very Satisfied,Eat a meal at a restaurant?,César Chávez,9,A,Joe Biden
1/15/2020 14:21:46,July 23 - August 22,Somewhat Satisfied,Eat a meal at home?,Army,9,A,Joe Biden
1/15/2020 14:21:51,November 22 - December 21,Somewhat Satisfied,Eat a meal at home?,Army,8,A,Donald Trump
1/15/2020 14:22:23,December 22 - January 19,Somewhat Satisfied,Eat a meal at home?,Army,10,A,Bernie Sanders
1/15/2020 14:22:25,July 23 - August 22,Somewhat Satisfied,Eat a meal at a friend house?,Army,5,B,Michael Bloomberg
1/15/2020 14:22:35,December 22 - January 19,Somewhat Satisfied,Eat a meal at a restaurant?,Army,9,A,Donald Trump
1/15/2020 14:23:07,March 21 - April 19,Somewhat Dissatisfied,Eat a meal at a restaurant?,César Chávez,8,A,Bernie Sanders
1/15/2020 14:23:18,February 19 - March 20,Somewhat Satisfied,Eat a meal at a restaurant?,César Chávez,8,B,Bernie Sanders
